,source,tag1,relation_label,target,tag2
0,autoimmune hemolytic anemias,RAREDISEASE,Produces,hemolysis,SIGN
1,this type of anemia,ANAPHOR,Is_a,anemia,DISEASE
2,autoimmune hemolytic anemia,RAREDISEASE,Anaphora,this type of anemia,ANAPHOR
3,autoimmune hemolytic anemia,RAREDISEASE,Anaphora,it,ANAPHOR
4,autoimmune hemolytic anemia,RAREDISEASE,Produces,certain antibodies is higher than normal,SIGN
5,acoustic neuroma,RAREDISEASE,Is_synon,vestibular schwannoma,RAREDISEASE
6,acoustic neuroma,RAREDISEASE,Produces,on the eighth cranial nerve benign (non-cancerous) growth,SIGN
7,acoustic neuroma,RAREDISEASE,Produces,hearing loss in one ear,SIGN
8,acoustic neuroma,RAREDISEASE,Produces,tinnitus,SYMPTOM
9,acoustic neuroma,RAREDISEASE,Produces,dizziness,SYMPTOM
10,acoustic neuroma,RAREDISEASE,Produces,tumor pressing against the eighth cranial nerve,SIGN
11,acoustic neuroma,RAREDISEASE,Anaphora,it,ANAPHOR
12,ACTH deficiency,RAREDISEASE,Produces,decline in the concentration of ACTH in the blood,SIGN
13,ACTH deficiency,RAREDISEASE,Produces,reduction in the secretion of adrenal hormones,SIGN
14,ACTH deficiency,RAREDISEASE,Produces,hypoadrenalism,SIGN
15,ACTH deficiency,RAREDISEASE,Anaphora,the disorder,ANAPHOR
16,Adrenal insufficiency,DISEASE,Produces,weight loss,SIGN
17,Adrenal insufficiency,DISEASE,Produces,anorexia,SYMPTOM
18,Adrenal insufficiency,DISEASE,Produces,weakness,SYMPTOM
19,Adrenal insufficiency,DISEASE,Produces,nausea,SYMPTOM
20,Adrenal insufficiency,DISEASE,Produces,vomiting,SIGN
21,Adrenal insufficiency,DISEASE,Produces,hypotension,SIGN
22,ACTH deficiency,RAREDISEASE,Anaphora,the disorder,ANAPHOR
23,ACTH deficiency,RAREDISEASE,Produces,concentration of cortisol is low,SIGN
24,ACTH deficiency,RAREDISEASE,Produces,low concentration of ACTH,SIGN
25,achalasia,RAREDISEASE,Anaphora,the condition,ANAPHOR
26,Achalasia,RAREDISEASE,Anaphora,this disorder,ANAPHOR
27,achalasia,RAREDISEASE,Produces,enlargement (dilation) of the esophagus,SIGN
28,achalasia,RAREDISEASE,Produces,retention of food and secretions within the esophagus,SIGN
29,Achard-Thiers syndrome,RAREDISEASE,Produces,type 2 (insulin-resistant) diabetes mellitus,SIGN
30,Achard-Thiers syndrome,RAREDISEASE,Produces,signs of androgen excess,SIGN
31,Achard-Thiers syndrome,RAREDISEASE,Anaphora,this syndrome,ANAPHOR
32,Achard-Thiers syndrome,RAREDISEASE,Anaphora,the syndrome,ANAPHOR
33,PCOS,DISEASE,Increases_risk_of,the syndrome,ANAPHOR
34,Bell's palsy,RAREDISEASE,Is_a,non-progressive neurological disorder,DISEASE
35,Bell's palsy,RAREDISEASE,Anaphora,This disorder,ANAPHOR
36,This disorder,ANAPHOR,Produces,facial paralysis,SIGN
37,This disorder,ANAPHOR,Produces,slight fever,SIGN
38,This disorder,ANAPHOR,Produces,pain behind the ear,SYMPTOM
39,This disorder,ANAPHOR,Produces,stiff neck,SIGN
40,This disorder,ANAPHOR,Produces,weakness,SYMPTOM
41,This disorder,ANAPHOR,Produces,stiffness on one side of the face,SIGN
42,This disorder,ANAPHOR,Produces,Paralysis,SIGN
43,This disorder,ANAPHOR,Produces,compression of the 7th cranial nerve,SIGN
44,Bell's palsy,RAREDISEASE,Anaphora,this disorder,ANAPHOR
45,herpes zoster,DISEASE,Increases_risk_of,this disorder,ANAPHOR
46,immune disorders,DISEASE,Increases_risk_of,this disorder,ANAPHOR
47,Bell’s palsy,RAREDISEASE,Anaphora,this disorder,ANAPHOR
48,Viral disorders,DISEASE,Anaphora,this disorder,ANAPHOR
49,immune disorders,DISEASE,Anaphora,this disorder,ANAPHOR
50,immune disorders,DISEASE,Produces,this disorder,ANAPHOR
51,immune disorders,DISEASE,Produces,Bell’s palsy,RAREDISEASE
52,immune disorders,DISEASE,Produces,deficiency of blood supply,SIGN
53,immune disorders,DISEASE,Produces,herpes zoster,DISEASE
54,Gallstones,DISEASE,Produces,block the release of bile,SIGN
55,acute cholecystitis,DISEASE,Produces,inflammation,SIGN
56,acute cholecystitis,DISEASE,Produces,infection,SIGN
57,acute cholecystitis,DISEASE,Produces,ischemia,SIGN
58,acute cholecystitis,DISEASE,Produces,ischemia,SIGN
59,acute calculous cholecystitis,DISEASE,Is_synon,acute cholecystitis,DISEASE
60,ACC,DISEASE,Is_acron,acute calculous cholecystitis,DISEASE
61,acute cholecystitis,DISEASE,Increases_risk_of,chronic cholecystitis,DISEASE
62,chronic cholecystitis,DISEASE,Produces,thickening and shrinking of the gallbladder wall,SIGN
63,Adult polyglucosan body disease,RAREDISEASE,Produces,urinary symptoms,SYMPTOM
64,enlarged prostate,DISEASE,Produces,urinary symptoms,SYMPTOM
65,enlarged prostate,DISEASE,Produces,urinary symptoms,SYMPTOM
66,enlarged prostate,DISEASE,Is_synon,prostate hypertrophy,DISEASE
67,Ablepharon-Macrostomia Syndrome,RAREDISEASE,Is_a,inherited disorder,DISEASE
68,Ablepharon-Macrostomia Syndrome,RAREDISEASE,Produces,physical abnormalities affecting the head and facial (craniofacial) area,SIGN
69,Ablepharon-Macrostomia Syndrome,RAREDISEASE,Produces,physical abnormalities affecting the skin,SIGN
